date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:47:56	5254/5254	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://super-admin.avidtemplates.com/robots.txt		(from )
14:47:56	19552/19552	---M-Z	200	added ('OK')	text/html	etag:W/%22676d17c2-4c60%22	https://super-admin.avidtemplates.com/	C:/My%20Web%20Sites/Laravel%20Auth%20Template/super-admin.avidtemplates.com/index.html	(from )
14:47:56	703698/703698	---M-Z	200	added ('OK')	text/css	etag:W/%22676d17c2-abcd2%22	https://super-admin.avidtemplates.com/accordion.e71eb4c8.css	C:/My%20Web%20Sites/Laravel%20Auth%20Template/super-admin.avidtemplates.com/accordion.e71eb4c8.css	(from https://super-admin.avidtemplates.com/)
14:47:56	15406/15406	---M-Z	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22676d17c2-3c2e%22	https://super-admin.avidtemplates.com/favicon.8a54c4b8.ico	C:/My%20Web%20Sites/Laravel%20Auth%20Template/super-admin.avidtemplates.com/favicon.8a54c4b8.ico	(from https://super-admin.avidtemplates.com/)
14:47:57	19552/19552	---M-Z	200	added ('OK')	text/html	etag:W/%22676d17c2-4c60%22	https://super-admin.avidtemplates.com/index.html	C:/My%20Web%20Sites/Laravel%20Auth%20Template/super-admin.avidtemplates.com/index-2.html	(from https://super-admin.avidtemplates.com/)
14:47:57	1089/1089	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22676d17c2-441%22	https://super-admin.avidtemplates.com/england.812d27b0.svg	C:/My%20Web%20Sites/Laravel%20Auth%20Template/super-admin.avidtemplates.com/england.812d27b0.svg	(from https://super-admin.avidtemplates.com/)
14:47:57	410/410	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22676d17c2-19a%22	https://super-admin.avidtemplates.com/japan.8bfd21bb.svg	C:/My%20Web%20Sites/Laravel%20Auth%20Template/super-admin.avidtemplates.com/japan.8bfd21bb.svg	(from https://super-admin.avidtemplates.com/)
14:47:58	264/264	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22676d17c2-108%22	https://super-admin.avidtemplates.com/germany.80dbbb7c.svg	C:/My%20Web%20Sites/Laravel%20Auth%20Template/super-admin.avidtemplates.com/germany.80dbbb7c.svg	(from https://super-admin.avidtemplates.com/)
14:47:58	833/833	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22676d17c2-341%22	https://super-admin.avidtemplates.com/china.f97ab81c.svg	C:/My%20Web%20Sites/Laravel%20Auth%20Template/super-admin.avidtemplates.com/china.f97ab81c.svg	(from https://super-admin.avidtemplates.com/)
14:47:58	267/267	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22676d17c2-10b%22	https://super-admin.avidtemplates.com/france.2558fda6.svg	C:/My%20Web%20Sites/Laravel%20Auth%20Template/super-admin.avidtemplates.com/france.2558fda6.svg	(from https://super-admin.avidtemplates.com/)
14:47:59	40136/40136	---M--	200	added ('OK')	image/jpeg	etag:%22676d17c2-9cc8%22	https://super-admin.avidtemplates.com/1.e810f372.jpg	C:/My%20Web%20Sites/Laravel%20Auth%20Template/super-admin.avidtemplates.com/1.e810f372.jpg	(from https://super-admin.avidtemplates.com/)
14:47:59	19222/19222	---M-Z	200	added ('OK')	text/html	etag:W/%22676d17c2-4b16%22	https://super-admin.avidtemplates.com/crm.html	C:/My%20Web%20Sites/Laravel%20Auth%20Template/super-admin.avidtemplates.com/crm.html	(from https://super-admin.avidtemplates.com/)
14:47:59	17177/17177	---M-Z	200	added ('OK')	text/html	etag:W/%22676d17c2-4319%22	https://super-admin.avidtemplates.com/analytics.html	C:/My%20Web%20Sites/Laravel%20Auth%20Template/super-admin.avidtemplates.com/analytics.html	(from https://super-admin.avidtemplates.com/)
14:48:00	15304/15304	---M-Z	200	added ('OK')	text/html	etag:W/%22676d17c2-3bc8%22	https://super-admin.avidtemplates.com/e-commerce.html	C:/My%20Web%20Sites/Laravel%20Auth%20Template/super-admin.avidtemplates.com/e-commerce.html	(from https://super-admin.avidtemplates.com/)
14:48:00	22147/22147	---M-Z	200	added ('OK')	text/html	etag:W/%22676d17c2-5683%22	https://super-admin.avidtemplates.com/email-marketing.html	C:/My%20Web%20Sites/Laravel%20Auth%20Template/super-admin.avidtemplates.com/email-marketing.html	(from https://super-admin.avidtemplates.com/)
14:48:00	18598/18598	---M-Z	200	added ('OK')	text/html	etag:W/%22676d17c2-48a6%22	https://super-admin.avidtemplates.com/user-profile.html	C:/My%20Web%20Sites/Laravel%20Auth%20Template/super-admin.avidtemplates.com/user-profile.html	(from https://super-admin.avidtemplates.com/)
14:48:01	25697/25697	---M-Z	200	added ('OK')	text/html	etag:W/%22676d17c2-6461%22	https://super-admin.avidtemplates.com/user-timeline.html	C:/My%20Web%20Sites/Laravel%20Auth%20Template/super-admin.avidtemplates.com/user-timeline.html	(from https://super-admin.avidtemplates.com/)
